Queries,cleaned_queries,kmeans_cluster,hdbscan_cluster,x,y
acn ya help me creating a new online account,acn ya help me creating a new online account,2,-1,-44.975338,-4.907219
add some items to an order,add some items to an order,6,59,7.7604036,36.120167
adding product to last order,adding product to last order,6,-1,10.872875,34.037876
allowed payment options,allowed payment options,1,16,28.123598,-13.620372
am I entitled to a refund according to your policy?,am i entitled to a refund according to your policy?,0,-1,12.633695,-58.71871
any updates on my refund?,any updates on my refund?,0,10,45.739372,-52.80891
anybody available at customer service,anybody available at customer service,9,-1,-22.060959,-18.394995
anybody available in customer service,anybody available in customer service,9,-1,-22.058678,-18.391972
anyone available at customer service,anyone available at customer service,9,-1,-22.062359,-18.397356
anyone available in customer service,anyone available in customer service,9,-1,-22.060286,-18.393887
anything new on my refund?,anything new on my refund?,0,-1,44.838276,-59.061302
are the charges for services refundable?,are the charges for services refundable?,5,-1,-9.428134,-53.264942
are the charges for your services refundable?,are the charges for your services refundable?,5,-1,-9.427148,-53.262096
are the charges of services refundable?,are the charges of services refundable?,0,-1,-9.401326,-53.27993
are the service charges refundable?,are the service charges refundable?,5,-1,-9.446044,-53.254982
are there cancellation fees?,are there cancellation fees?,5,32,-13.2980995,-52.686344
assistance adding something,assistance adding something,6,-1,3.2977612,33.798233
assistance buying an item,assistance buying an item,6,31,-5.343546,55.679108
assistance buying several of your item,assistance buying several of your item,6,31,-6.952385,54.2286
assistance buying some of your item,assistance buying some of your item,6,31,-6.6933017,54.923233
assistance buying something,assistance buying something,6,31,-5.3836627,55.79259
assistance canceling my last order,assistance canceling my last order,5,51,9.821179,6.0118103
assistance canceling the company newsletter subscription,assistance canceling the company newsletter subscription,5,57,-29.911476,29.344456
assistance canceling the order I have made,assistance canceling the order i have made,5,51,14.526266,5.7811403
assistance cancelling an order I made,assistance cancelling an order i made,5,51,14.880158,5.536134
assistance cancelling my order,assistance cancelling my order,5,51,15.990017,4.670692
assistance cancelling my subscription to the newsletter,assistance cancelling my subscription to the newsletter,5,56,-26.490854,24.981707
assistance cancelling the company newsletter subscription,assistance cancelling the company newsletter subscription,5,57,-29.871262,29.358435
assistance cancelling the last order,assistance cancelling the last order,5,51,9.266319,6.740939
assistance cancelling the last order I made,assistance cancelling the last order i made,5,51,9.694244,6.7575088
assistance cancelling the newsletter subscription,assistance cancelling the newsletter subscription,5,56,-26.47679,24.838371
assistance cancelling the order I made,assistance cancelling the order i made,5,51,14.358205,5.602615
assistance cancelling the subscription tl the newsletter,assistance cancelling the subscription tl the newsletter,5,-1,-26.426472,24.533709
assistance changing my shipping address,assistance changing my shipping address,4,74,-39.433414,56.05295
assistance changing some of the details on my user profile,assistance changing some of the details on my user profile,2,-1,-81.70962,5.346161
assistance changing the last order I made,assistance changing the last order i made,6,49,22.145777,26.324293
assistance changing to a different account,assistance changing to a different account,2,-1,-59.978195,-6.6954618
assistance changing to a new user profile,assistance changing to a new user profile,2,98,-74.3015,-6.066961
assistance checking how long refunds take,assistance checking how long refunds take,0,8,54.525826,-72.84501
assistance checking how long refunds usually take,assistance checking how long refunds usually take,0,-1,54.49957,-72.91274
assistance checking how long the delivery takes,assistance checking how long the delivery takes,7,48,49.378162,56.5608
assistance checking how soon can I expect the delivery,assistance checking how soon can i expect the delivery,7,47,53.11789,52.44254
assistance checking if there is anything new on my refund,assistance checking if there is anything new on my refund,0,15,43.715595,-57.791775
assistance checking my invoices,assistance checking my invoices,3,1,60.685394,2.1667597
assistance checking the cancellation fee,assistance checking the cancellation fee,5,32,-17.84238,-50.809914
assistance checking the cancellation fees,assistance checking the cancellation fees,5,32,-17.3249,-50.733616
assistance checking the delivery options,assistance checking the delivery options,7,30,11.240485,74.056946
assistance checking the invoice from two purchases ago,assistance checking the invoice from two purchases ago,3,1,44.98679,0.35239735
assistance checking the options for delivery,assistance checking the options for delivery,7,30,11.199768,74.21074
assistance checking the refund status,assistance checking the refund status,0,13,33.524597,-59.711132
assistance checking the status of my order,assistance checking the status of my order,6,45,49.619923,35.620144
assistance checking the status of my refund,assistance checking the status of my refund,0,13,33.411877,-59.42311
assistance checking the status of the refund,assistance checking the status of the refund,0,13,33.617,-59.737686
assistance checking what delivery options are available,assistance checking what delivery options are available,7,30,12.019607,74.607124
assistance checking what delivery options I have,assistance checking what delivery options i have,7,30,12.544684,75.25823
assistance checking what hours customer service available is,assistance checking what hours customer service available is,7,17,43.0467,21.152498
assistance checking what hours I can reach customer service,assistance checking what hours i can reach customer service,7,17,41.584217,20.94634
assistance checking what options for delivery I can choose,assistance checking what options for delivery i can choose,7,30,17.181503,79.46308
assistance checking what options for delivery you offer,assistance checking what options for delivery you offer,7,30,17.437185,80.05246
assistance checking what payment methods are available,assistance checking what payment methods are available,1,16,42.538906,-18.986778
assistance checking what payment methods you accept,assistance checking what payment methods you accept,1,16,42.01528,-18.097258
