Cluster_ID,Size,Avg_Sentiment,Top_Keywords,Sample_Queries
1,526,0.024,"check invoice, invoice month, invoices month, months ago, purchases ago","['help me check the invoice from June', 'I try to get the invoices', 'help me taking a quick look at the invoices from last month']"
16,237,0.08,"allowed payment, allowed payment methods, check payment, payment methods, payment options","['help me to check what payment methods are available', 'how can I check what payment methods you accept?', 'I need to check your allowed payment methods']"
30,236,0.057,"check delivery, check delivery options, check options, delivery options, options delivery","['information about the delivery options', 'I call to check what options for delivery you offer', 'could you help me check what options for delivery you offer?']"
51,233,0.009,"cancel order, canceling order, cancelling order, help canceling, help canceling order","['I do not know how I could cancel an order', 'I need help canceling the order I have made', 'would you give me information about canceling orders?']"
31,219,-0.026,"buy item, buy items, help buy, know buy, make purchase","['I am trying to buy something', 'I have to buy a few of your item', 'help buying something']"
21,174,0.0,"know report, payment issues, report issue, report issues, report payment","['help me report a payment issue', 'is it possible to report issues with payment?', 'how can I report a payment issue?']"
19,162,0.0,"don know, know refund, know refunds, refund money, refunds money","['how can I get a refund?', ""I don't know how I can get a refund of money"", 'I need assistance getting refunds of money']"
44,155,0.0,"help track, help track order, know track, know track order, track order","[""I don't know how I could track my last order"", 'can I track an order?', 'I need help to track the last order']"
29,141,0.018,"contact agent, don know, human agent, live agent, talk agent","['how to talk to an agent?', 'how do I talk to an agent?', 'i want help chatting with a live agent']"
13,138,0.0,"check refund, check status, check status refund, refund status, status refund","['I want to check my refund status', 'I want assistance checking the refund status', 'help me check the status of my refund']"
6,136,0.0,"leave review, leave review company, review company, review service, review services","['leave review for a service', 'I want assistance leaving a review for a service', 'I need assistance leaving a review for a service']"
17,133,0.168,"contact customer, contact customer service, customer service, customer service available, service available","['want help seeing what hours I can reach customer assistance', 'can you tell me what hours customer service available is?', 'how to check what hours customer service available is?']"
78,127,0.0,"delete account, deleting account, help delete account, know delete, know delete account","['how do I delete an account?', ""I don't know what I have to do to delete the account"", 'help me to delete my account']"
74,117,0.034,"change shipping, change shipping address, changing shipping, changing shipping address, shipping address","['help me change the shipping address', ""I don't know how I could change the shipping address"", 'assistance to change the shipping address']"
32,114,0.0,"cancellation fee, cancellation fees, check cancellation, check cancellation fee, check cancellation fees","['I do not know how I could check the cancellation fees', 'assistance to check the cancellation fee', 'I want to check the cancellation fee']"
41,109,-0.013,"contact customer, contact customer service, customer assistance, customer service, customer support","['I want assistance to talk with customer support', 'i need help speaking with fucking customer support', 'i want help contacting customer assistance']"
