Queries,cleaned_query,delivery_intent,account_intent,order_intent,refund_intent,primary_intent,needs_help,emotion_risk_flag,requires_order_id,missing_required_entity,automation_suitability_score,can_be_auto_resolved,is_candidate_for_clustering
acn ya help me creating a new online account,acn ya help me creating a new online account,False,True,False,False,account,True,False,False,False,0.9,True,False
add some items to an order,add some items to an order,False,False,True,False,order,False,False,True,True,0.6,False,False
adding product to last order,adding product to last order,False,False,True,False,order,False,False,True,True,0.6,False,False
allowed payment options,allowed payment options,False,False,False,False,other,False,False,False,False,0.2,False,True
am I entitled to a refund according to your policy?,am i entitled to a refund according to your policy,False,False,False,True,refund,False,False,True,True,0.3,False,False
any updates on my refund?,any updates on my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
anybody available at customer service,anybody available at customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
anybody available in customer service,anybody available in customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
anyone available at customer service,anyone available at customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
anyone available in customer service,anyone available in customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
anything new on my refund?,anything new on my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
are the charges for services refundable?,are the charges for services refundable,False,False,False,False,other,False,False,False,False,0.2,False,True
are the charges for your services refundable?,are the charges for your services refundable,False,False,False,False,other,False,False,False,False,0.2,False,True
are the charges of services refundable?,are the charges of services refundable,False,False,False,False,other,False,False,False,False,0.2,False,True
are the service charges refundable?,are the service charges refundable,False,False,False,False,other,False,False,False,False,0.2,False,True
are there cancellation fees?,are there cancellation fees,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance adding something,assistance adding something,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance buying an item,assistance buying an item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance buying several of your item,assistance buying several of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance buying some of your item,assistance buying some of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance buying something,assistance buying something,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance canceling my last order,assistance canceling my last order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance canceling the company newsletter subscription,assistance canceling the company newsletter subscription,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance canceling the order I have made,assistance canceling the order i have made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling an order I made,assistance cancelling an order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling my order,assistance cancelling my order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling my subscription to the newsletter,assistance cancelling my subscription to the newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance cancelling the company newsletter subscription,assistance cancelling the company newsletter subscription,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance cancelling the last order,assistance cancelling the last order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling the last order I made,assistance cancelling the last order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling the newsletter subscription,assistance cancelling the newsletter subscription,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance cancelling the order I made,assistance cancelling the order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance cancelling the subscription tl the newsletter,assistance cancelling the subscription tl the newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance changing my shipping address,assistance changing my shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance changing some of the details on my user profile,assistance changing some of the details on my user profile,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance changing the last order I made,assistance changing the last order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance changing to a different account,assistance changing to a different account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance changing to a new user profile,assistance changing to a new user profile,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking how long refunds take,assistance checking how long refunds take,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking how long refunds usually take,assistance checking how long refunds usually take,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking how long the delivery takes,assistance checking how long the delivery takes,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking how soon can I expect the delivery,assistance checking how soon can i expect the delivery,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking if there is anything new on my refund,assistance checking if there is anything new on my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance checking my invoices,assistance checking my invoices,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking the cancellation fee,assistance checking the cancellation fee,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking the cancellation fees,assistance checking the cancellation fees,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking the delivery options,assistance checking the delivery options,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking the invoice from two purchases ago,assistance checking the invoice from two purchases ago,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance checking the options for delivery,assistance checking the options for delivery,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking the refund status,assistance checking the refund status,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance checking the status of my order,assistance checking the status of my order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance checking the status of my refund,assistance checking the status of my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance checking the status of the refund,assistance checking the status of the refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance checking what delivery options are available,assistance checking what delivery options are available,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking what delivery options I have,assistance checking what delivery options i have,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking what hours customer service available is,assistance checking what hours customer service available is,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking what hours I can reach customer service,assistance checking what hours i can reach customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking what options for delivery I can choose,assistance checking what options for delivery i can choose,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking what options for delivery you offer,assistance checking what options for delivery you offer,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking what payment methods are available,assistance checking what payment methods are available,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking what payment methods you accept,assistance checking what payment methods you accept,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking when my delivery is going to arrive,assistance checking when my delivery is going to arrive,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance checking when my item is going to arrive,assistance checking when my item is going to arrive,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking your allowed payment methods,assistance checking your allowed payment methods,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance checking your refund policy,assistance checking your refund policy,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance contacting an agent,assistance contacting an agent,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance contacting customer service,assistance contacting customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance creating a bloody new account,assistance creating a bloody new account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance creating a new user account,assistance creating a new user account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance creating an online account,assistance creating an online account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance deleting an account,assistance deleting an account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance deleting the account,assistance deleting the account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance editing my account,assistance editing my account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance editing my delivery address,assistance editing my delivery address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance filing a claim against ur business,assistance filing a claim against ur business,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance filing a complaint,assistance filing a complaint,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance filing a complaint against your business,assistance filing a complaint against your business,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance filing a customer claim against your company,assistance filing a customer claim against your company,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance finding my invoice,assistance finding my invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance finding the invoices,assistance finding the invoices,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance getting a refund,assistance getting a refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance getting my money back,assistance getting my money back,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance getting refunds,assistance getting refunds,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance getting refunds of money,assistance getting refunds of money,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance getting the invoices from eight months ago,assistance getting the invoices from eight months ago,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance leaving a review for a service,assistance leaving a review for a service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance leaving a review for your company,assistance leaving a review for your company,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance lodging a consumer complaint,assistance lodging a consumer complaint,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance lodging a reclamation against your organization,assistance lodging a reclamation against your organization,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance making a purchase,assistance making a purchase,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance opening a new account,assistance opening a new account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance recovering my password,assistance recovering my password,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance registering,assistance registering,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance reporting a payment issue,assistance reporting a payment issue,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance reporting a registration issue,assistance reporting a registration issue,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance reporting issues with payment,assistance reporting issues with payment,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance reporting issues with payments,assistance reporting issues with payments,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance reporting payment issues,assistance reporting payment issues,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance reporting registration issues,assistance reporting registration issues,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance seeing the termination penalty,assistance seeing the termination penalty,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance setting a different shipping address up,assistance setting a different shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance setting a new shipping address up,assistance setting a new shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance setting another shipping address up,assistance setting another shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance setting up a different shipping address,assistance setting up a different shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance setting up a new shipping address,assistance setting up a new shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance setting up another shipping address,assistance setting up another shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance solving an issue with payment,assistance solving an issue with payment,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance solving an issue with payments,assistance solving an issue with payments,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance solving issues with payment,assistance solving issues with payment,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance speaking with an agent,assistance speaking with an agent,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance submitting some feedback for a service,assistance submitting some feedback for a service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance submitting some feedback for your company,assistance submitting some feedback for your company,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance subscribing to your company newsletter,assistance subscribing to your company newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance switching to another account,assistance switching to another account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance switching user,assistance switching user,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance taking a quick look at the invoices from May,assistance taking a quick look at the invoices from may,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance talking to an agent,assistance talking to an agent,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance talking to an assistant,assistance talking to an assistant,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to buy several of your item,assistance to buy several of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to buy some of your item,assistance to buy some of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to buy something,assistance to buy something,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to cancel my corporate newsleter subscription,assistance to cancel my corporate newsleter subscription,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to cancel the goddamn user account,assistance to cancel the goddamn user account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to change an order,assistance to change an order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to change my order,assistance to change my order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to change my personal details,assistance to change my personal details,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to change my shipping address,assistance to change my shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to change the details included on my user profile,assistance to change the details included on my user profile,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to change the info included on my user profile,assistance to change the info included on my user profile,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to change the shipping address,assistance to change the shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to check how long refunds take,assistance to check how long refunds take,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check how long refunds usually take,assistance to check how long refunds usually take,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check how long the delivery takes,assistance to check how long the delivery takes,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to check how soon can I expect the item,assistance to check how soon can i expect the item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check if there is anything new on my refund,assistance to check if there is anything new on my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to check in what cases can I ask for refunds,assistance to check in what cases can i ask for refunds,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check my order ETA,assistance to check my order eta,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to check my refund status,assistance to check my refund status,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to check the available payment options,assistance to check the available payment options,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the cancellation fee,assistance to check the cancellation fee,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the cancellation fees,assistance to check the cancellation fees,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the early termination fees,assistance to check the early termination fees,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the early termination penalty,assistance to check the early termination penalty,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the invoice from 5 purchases ago,assistance to check the invoice from 5 purchases ago,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to check the invoices from last month,assistance to check the invoices from last month,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check the options for delivery,assistance to check the options for delivery,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to check the status of my order,assistance to check the status of my order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to check what delivery options I can choose,assistance to check what delivery options i can choose,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to check what hours customer service available is,assistance to check what hours customer service available is,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check what options for delivery you offer,assistance to check what options for delivery you offer,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to check what payment methods are available,assistance to check what payment methods are available,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check what payment methods you accept,assistance to check what payment methods you accept,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check when my item is going to arrive,assistance to check when my item is going to arrive,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check your allowed payment methods,assistance to check your allowed payment methods,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to check your refund policy,assistance to check your refund policy,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to contact a person,assistance to contact a person,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to contact customer service,assistance to contact customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to create an account,assistance to create an account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to delete my account,assistance to delete my account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to edit my account,assistance to edit my account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to edit my personal information,assistance to edit my personal information,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to edit the information on my account,assistance to edit the information on my account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to file a complaint,assistance to file a complaint,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to file a complaint against your business,assistance to file a complaint against your business,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to file a complaint against your organizxation,assistance to file a complaint against your organizxation,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to find the invoice,assistance to find the invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to find the invoice from 4 purchases ago,assistance to find the invoice from 4 purchases ago,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to find the invoices from January,assistance to find the invoices from january,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to get a refund of money,assistance to get a refund of money,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to get my invoice,assistance to get my invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to get my money back,assistance to get my money back,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to get refunds of money,assistance to get refunds of money,False,False,False,False,other,False,False,False,False,0.2,False,True
