Queries,Word_Count,Sentiment,cleaned,Cluster_ID
acn ya help me creating a new online account,9,Positive,acn ya help me creating a new online account,1
add some items to an order,6,Neutral,add some items to an order,4
adding product to last order,5,Neutral,adding product to last order,4
allowed payment options,3,Neutral,allowed payment options,3
am I entitled to a refund according to your policy?,10,Neutral,am i entitled to a refund according to your policy,8
any updates on my refund?,5,Neutral,any updates on my refund,8
anybody available at customer service,5,Positive,anybody available at customer service,3
anybody available in customer service,5,Positive,anybody available in customer service,3
anyone available at customer service,5,Positive,anyone available at customer service,3
anyone available in customer service,5,Positive,anyone available in customer service,3
anything new on my refund?,5,Positive,anything new on my refund,8
are the charges for services refundable?,6,Neutral,are the charges for services refundable,3
are the charges for your services refundable?,7,Neutral,are the charges for your services refundable,3
are the charges of services refundable?,6,Neutral,are the charges of services refundable,3
are the service charges refundable?,5,Neutral,are the service charges refundable,3
are there cancellation fees?,4,Neutral,are there cancellation fees,3
assistance adding something,3,Neutral,assistance adding something,3
assistance buying an item,4,Neutral,assistance buying an item,6
assistance buying several of your item,6,Neutral,assistance buying several of your item,6
assistance buying some of your item,6,Neutral,assistance buying some of your item,6
assistance buying something,3,Neutral,assistance buying something,3
assistance canceling my last order,5,Neutral,assistance canceling my last order,4
assistance canceling the company newsletter subscription,6,Neutral,assistance canceling the company newsletter subscription,0
assistance canceling the order I have made,7,Neutral,assistance canceling the order i have made,4
assistance cancelling an order I made,6,Neutral,assistance cancelling an order i made,4
assistance cancelling my order,4,Neutral,assistance cancelling my order,4
assistance cancelling my subscription to the newsletter,7,Neutral,assistance cancelling my subscription to the newsletter,0
assistance cancelling the company newsletter subscription,6,Neutral,assistance cancelling the company newsletter subscription,0
assistance cancelling the last order,5,Neutral,assistance cancelling the last order,4
assistance cancelling the last order I made,7,Neutral,assistance cancelling the last order i made,4
assistance cancelling the newsletter subscription,5,Neutral,assistance cancelling the newsletter subscription,0
assistance cancelling the order I made,6,Neutral,assistance cancelling the order i made,4
assistance cancelling the subscription tl the newsletter,7,Neutral,assistance cancelling the subscription tl the newsletter,0
assistance changing my shipping address,5,Neutral,assistance changing my shipping address,2
assistance changing some of the details on my user profile,10,Neutral,assistance changing some of the details on my user profile,3
assistance changing the last order I made,7,Neutral,assistance changing the last order i made,4
assistance changing to a different account,6,Neutral,assistance changing to a different account,1
assistance changing to a new user profile,7,Positive,assistance changing to a new user profile,1
assistance checking how long refunds take,6,Neutral,assistance checking how long refunds take,3
assistance checking how long refunds usually take,7,Negative,assistance checking how long refunds usually take,3
assistance checking how long the delivery takes,7,Neutral,assistance checking how long the delivery takes,3
assistance checking how soon can I expect the delivery,9,Neutral,assistance checking how soon can i expect the delivery,3
assistance checking if there is anything new on my refund,10,Positive,assistance checking if there is anything new on my refund,8
assistance checking my invoices,4,Neutral,assistance checking my invoices,7
assistance checking the cancellation fee,5,Neutral,assistance checking the cancellation fee,3
assistance checking the cancellation fees,5,Neutral,assistance checking the cancellation fees,3
assistance checking the delivery options,5,Neutral,assistance checking the delivery options,3
assistance checking the invoice from two purchases ago,8,Neutral,assistance checking the invoice from two purchases ago,7
assistance checking the options for delivery,6,Neutral,assistance checking the options for delivery,3
assistance checking the refund status,5,Neutral,assistance checking the refund status,8
assistance checking the status of my order,7,Neutral,assistance checking the status of my order,4
assistance checking the status of my refund,7,Neutral,assistance checking the status of my refund,8
assistance checking the status of the refund,7,Neutral,assistance checking the status of the refund,8
assistance checking what delivery options are available,7,Positive,assistance checking what delivery options are available,3
assistance checking what delivery options I have,7,Neutral,assistance checking what delivery options i have,3
assistance checking what hours customer service available is,8,Positive,assistance checking what hours customer service available is,3
assistance checking what hours I can reach customer service,9,Neutral,assistance checking what hours i can reach customer service,3
assistance checking what options for delivery I can choose,9,Neutral,assistance checking what options for delivery i can choose,3
assistance checking what options for delivery you offer,8,Neutral,assistance checking what options for delivery you offer,3
assistance checking what payment methods are available,7,Positive,assistance checking what payment methods are available,3
assistance checking what payment methods you accept,7,Neutral,assistance checking what payment methods you accept,3
assistance checking when my delivery is going to arrive,9,Neutral,assistance checking when my delivery is going to arrive,3
assistance checking when my item is going to arrive,9,Neutral,assistance checking when my item is going to arrive,6
assistance checking your allowed payment methods,6,Neutral,assistance checking your allowed payment methods,3
assistance checking your refund policy,5,Neutral,assistance checking your refund policy,8
assistance contacting an agent,4,Neutral,assistance contacting an agent,3
assistance contacting customer service,4,Neutral,assistance contacting customer service,3
assistance creating a bloody new account,6,Negative,assistance creating a bloody new account,1
assistance creating a new user account,6,Positive,assistance creating a new user account,1
assistance creating an online account,5,Neutral,assistance creating an online account,1
assistance deleting an account,4,Neutral,assistance deleting an account,1
assistance deleting the account,4,Neutral,assistance deleting the account,1
assistance editing my account,4,Neutral,assistance editing my account,1
assistance editing my delivery address,5,Neutral,assistance editing my delivery address,3
assistance filing a claim against ur business,7,Neutral,assistance filing a claim against ur business,3
assistance filing a complaint,4,Negative,assistance filing a complaint,3
assistance filing a complaint against your business,7,Negative,assistance filing a complaint against your business,3
assistance filing a customer claim against your company,8,Neutral,assistance filing a customer claim against your company,0
assistance finding my invoice,4,Neutral,assistance finding my invoice,3
assistance finding the invoices,4,Neutral,assistance finding the invoices,7
assistance getting a refund,4,Neutral,assistance getting a refund,8
assistance getting my money back,5,Neutral,assistance getting my money back,8
assistance getting refunds,3,Neutral,assistance getting refunds,3
assistance getting refunds of money,5,Neutral,assistance getting refunds of money,8
assistance getting the invoices from eight months ago,8,Neutral,assistance getting the invoices from eight months ago,7
assistance leaving a review for a service,7,Neutral,assistance leaving a review for a service,3
assistance leaving a review for your company,7,Neutral,assistance leaving a review for your company,0
assistance lodging a consumer complaint,5,Negative,assistance lodging a consumer complaint,3
